team,team_id,url
Old Dominion Monarchs,523,https://odusports.com/sports/womens-soccer
Ole Miss Rebels,433,https://olemisssports.com/sports/womens-soccer
Omaha Mavericks,464,https://omavs.com/sports/womens-soccer
Oral Roberts Golden Eagles,527,https://oruathletics.com/sports/womens-soccer
Oregon Ducks,529,https://goducks.com/sports/womens-soccer
Oregon St. Beavers,528,https://osubeavers.com/sports/womens-soccer
Pacific Tigers,534,https://pacifictigers.com/sports/womens-soccer
Penn St. Nittany Lions,539,https://gopsusports.com/sports/womens-soccer
Pepperdine Waves,541,https://pepperdinewaves.com/sports/womens-soccer
Pittsburgh Panthers,545,https://pittsburghpanthers.com/sports/womens-soccer
Portland Pilots,551,https://portlandpilots.com/sports/womens-soccer
Portland St. Vikings,550,https://goviks.com/sports/womens-soccer
Prairie View Lady Panthers,553,https://pvpanthers.com/sports/womens-soccer
Presbyterian Blue Hose,1320,https://gobluehose.com/sports/womens-soccer
Providence Friars,556,https://friars.com/sports/womens-soccer
Purdue Boilermakers,559,https://purduesports.com/sports/soccer
Purdue Fort Wayne Mastodons,308,https://gomastodons.com/sports/womens-soccer
Queens (NC) Royals,11504,https://queensathletics.com/sports/womens-soccer
Quinnipiac Bobcats,562,https://gobobcats.com/sports/womens-soccer
East Texas A&M Lions,199,https://lionathletics.com/sports/womens-soccer
Saint Francis The Red Flash,600,https://sfuathletics.com/sports/womens-soccer
Radford Highlanders,563,https://radfordathletics.com/sports/womens-soccer
Rhode Island Rams,572,https://gorhody.com/sports/womens-soccer
Rice Owls,574,https://riceowls.com/sports/womens-soccer
Richmond Spiders,575,https://richmondspiders.com/sports/womens-soccer
Rider Broncs,576,https://gobroncs.com/sports/womens-soccer
Robert Morris Colonials,579,https://rmucolonials.com/sports/womens-soccer
Rutgers Scarlet Knights,587,https://scarletknights.com/sports/womens-soccer
SFA Lumberjacks,676,https://sfajacks.com/sports/womens-soccer
SIUE Cougars,660,https://siuecougars.com/sports/womens-soccer
SMU Mustangs,663,https://smumustangs.com/sports/womens-soccer
